Date,Headline,Source
2024-07-24,Officials report: Landslide in Ernakulam affects local life,Kerala News Daily
2024-07-05,IMD issues: Imd alert in Thrissur affects local life,Kerala News Daily
2024-07-28,Breaking: Heavy rain in Ernakulam affects local life,Kerala News Daily
2024-07-20,Breaking: Imd alert in Idukki affects local life,Kerala News Daily
2024-07-07,Officials report: Landslide in Pathanamthitta affects local life,Kerala News Daily
2024-07-08,IMD issues: Imd alert in Thrissur affects local life,Kerala News Daily
2024-07-06,Breaking: Imd alert in Thrissur affects local life,Kerala News Daily
2024-07-09,Breaking: Landslide in Kozhikode affects local life,Kerala News Daily
2024-07-14,Latest update: Evacuation in Kottayam affects local life,Kerala News Daily
2024-07-26,Latest update: Flood in Thrissur affects local life,Kerala News Daily
2024-07-16,Breaking: Landslide in Munnar affects local life,Kerala News Daily
2024-07-20,Latest update: Heavy rain in Pathanamthitta affects local life,Kerala News Daily
2024-07-01,Officials report: Flood in Thrissur affects local life,Kerala News Daily
2024-07-04,Red alert in: Dam opening in Kozhikode affects local life,Kerala News Daily
2024-07-11,IMD issues: Weather warning in Wayanad affects local life,Kerala News Daily
2024-07-27,IMD issues: Death in Munnar affects local life,Kerala News Daily
2024-07-23,IMD issues: Dam opening in Kozhikode affects local life,Kerala News Daily
2024-07-18,Latest update: Weather warning in Kottayam affects local life,Kerala News Daily
2024-07-01,Red alert in: Flood in Kottayam affects local life,Kerala News Daily
2024-07-04,IMD issues: Weather warning in Munnar affects local life,Kerala News Daily
2024-07-09,Officials report: Evacuation in Kozhikode affects local life,Kerala News Daily
2024-07-09,Officials report: Traffic disruption in Munnar affects local life,Kerala News Daily
2024-07-13,Breaking: Traffic disruption in Kozhikode affects local life,Kerala News Daily
2024-07-08,Red alert in: Traffic disruption in Kottayam affects local life,Kerala News Daily
2024-07-26,Red alert in: Orange alert in Kozhikode affects local life,Kerala News Daily
2024-07-01,IMD issues: Evacuation in Wayanad affects local life,Kerala News Daily
2024-07-16,Latest update: Flood in Idukki affects local life,Kerala News Daily
2024-07-29,Officials report: Weather warning in Kozhikode affects local life,Kerala News Daily
2024-07-08,Red alert in: Weather warning in Kozhikode affects local life,Kerala News Daily
2024-07-10,Red alert in: Traffic disruption in Kottayam affects local life,Kerala News Daily
2024-07-23,Red alert in: Death in Pathanamthitta affects local life,Kerala News Daily
